,quad_id,lat,lat2,lon,lon2,geometry
1135,1136,40.670037,40.675037,-74.02218199999999,-74.01718199999999,"POLYGON ((-74.01718199999999 40.670037, -74.01718199999999 40.675037, -74.02218199999999 40.675037, -74.02218199999999 40.670037, -74.01718199999999 40.670037))"
1136,1137,40.670037,40.675037,-74.01718199999999,-74.012182,"POLYGON ((-74.012182 40.670037, -74.012182 40.675037, -74.01718199999999 40.675037, -74.01718199999999 40.670037, -74.012182 40.670037))"
1137,1138,40.670037,40.675037,-74.012182,-74.00718199999999,"POLYGON ((-74.00718199999999 40.670037, -74.00718199999999 40.675037, -74.012182 40.675037, -74.012182 40.670037, -74.00718199999999 40.670037))"
1138,1139,40.670037,40.675037,-74.00718199999999,-74.00218199999999,"POLYGON ((-74.00218199999999 40.670037, -74.00218199999999 40.675037, -74.00718199999999 40.675037, -74.00718199999999 40.670037, -74.00218199999999 40.670037))"
1139,1140,40.670037,40.675037,-74.00218199999999,-73.997182,"POLYGON ((-73.997182 40.670037, -73.997182 40.675037, -74.00218199999999 40.675037, -74.00218199999999 40.670037, -73.997182 40.670037))"
1140,1141,40.670037,40.675037,-73.997182,-73.99218199999999,"POLYGON ((-73.99218199999999 40.670037, -73.99218199999999 40.675037, -73.997182 40.675037, -73.997182 40.670037, -73.99218199999999 40.670037))"
1141,1142,40.670037,40.675037,-73.99218199999999,-73.98718199999999,"POLYGON ((-73.98718199999999 40.670037, -73.98718199999999 40.675037, -73.99218199999999 40.675037, -73.99218199999999 40.670037, -73.98718199999999 40.670037))"
1142,1143,40.670037,40.675037,-73.98718199999999,-73.982182,"POLYGON ((-73.982182 40.670037, -73.982182 40.675037, -73.98718199999999 40.675037, -73.98718199999999 40.670037, -73.982182 40.670037))"
1143,1144,40.670037,40.675037,-73.982182,-73.97718199999998,"POLYGON ((-73.97718199999998 40.670037, -73.97718199999998 40.675037, -73.982182 40.675037, -73.982182 40.670037, -73.97718199999998 40.670037))"
1144,1145,40.670037,40.675037,-73.97718199999998,-73.97218199999999,"POLYGON ((-73.97218199999999 40.670037, -73.97218199999999 40.675037, -73.97718199999998 40.675037, -73.97718199999998 40.670037, -73.97218199999999 40.670037))"
1145,1146,40.670037,40.675037,-73.97218199999999,-73.967182,"POLYGON ((-73.967182 40.670037, -73.967182 40.675037, -73.97218199999999 40.675037, -73.97218199999999 40.670037, -73.967182 40.670037))"
1146,1147,40.670037,40.675037,-73.967182,-73.96218199999998,"POLYGON ((-73.96218199999998 40.670037, -73.96218199999998 40.675037, -73.967182 40.675037, -73.967182 40.670037, -73.96218199999998 40.670037))"
1147,1148,40.670037,40.675037,-73.96218199999998,-73.95718199999999,"POLYGON ((-73.95718199999999 40.670037, -73.95718199999999 40.675037, -73.96218199999998 40.675037, -73.96218199999998 40.670037, -73.95718199999999 40.670037))"
1148,1149,40.670037,40.675037,-73.95718199999999,-73.952182,"POLYGON ((-73.952182 40.670037, -73.952182 40.675037, -73.95718199999999 40.675037, -73.95718199999999 40.670037, -73.952182 40.670037))"
1149,1150,40.670037,40.675037,-73.952182,-73.94718199999998,"POLYGON ((-73.94718199999998 40.670037, -73.94718199999998 40.675037, -73.952182 40.675037, -73.952182 40.670037, -73.94718199999998 40.670037))"
1150,1151,40.670037,40.675037,-73.94718199999998,-73.94218199999999,"POLYGON ((-73.94218199999999 40.670037, -73.94218199999999 40.675037, -73.94718199999998 40.675037, -73.94718199999998 40.670037, -73.94218199999999 40.670037))"
1151,1152,40.670037,40.675037,-73.94218199999999,-73.93718199999999,"POLYGON ((-73.93718199999999 40.670037, -73.93718199999999 40.675037, -73.94218199999999 40.675037, -73.94218199999999 40.670037, -73.93718199999999 40.670037))"
1152,1153,40.670037,40.675037,-73.93718199999999,-73.93218199999998,"POLYGON ((-73.93218199999998 40.670037, -73.93218199999998 40.675037, -73.93718199999999 40.675037, -73.93718199999999 40.670037, -73.93218199999998 40.670037))"
1153,1154,40.670037,40.675037,-73.93218199999998,-73.92718199999999,"POLYGON ((-73.92718199999999 40.670037, -73.92718199999999 40.675037, -73.93218199999998 40.675037, -73.93218199999998 40.670037, -73.92718199999999 40.670037))"
1154,1155,40.670037,40.675037,-73.92718199999999,-73.92218199999999,"POLYGON ((-73.92218199999999 40.670037, -73.92218199999999 40.675037, -73.92718199999999 40.675037, -73.92718199999999 40.670037, -73.92218199999999 40.670037))"
1155,1156,40.670037,40.675037,-73.92218199999999,-73.91718199999998,"POLYGON ((-73.91718199999998 40.670037, -73.91718199999998 40.675037, -73.92218199999999 40.675037, -73.92218199999999 40.670037, -73.91718199999998 40.670037))"
1156,1157,40.670037,40.675037,-73.91718199999998,-73.91218199999999,"POLYGON ((-73.91218199999999 40.670037, -73.91218199999999 40.675037, -73.91718199999998 40.675037, -73.91718199999998 40.670037, -73.91218199999999 40.670037))"
1158,1159,40.670037,40.675037,-73.90718199999999,-73.902182,"POLYGON ((-73.902182 40.670037, -73.902182 40.675037, -73.90718199999999 40.675037, -73.90718199999999 40.670037, -73.902182 40.670037))"
1160,1161,40.670037,40.675037,-73.89718199999999,-73.89218199999999,"POLYGON ((-73.89218199999999 40.670037, -73.89218199999999 40.675037, -73.89718199999999 40.675037, -73.89718199999999 40.670037, -73.89218199999999 40.670037))"
1161,1162,40.670037,40.675037,-73.89218199999999,-73.887182,"POLYGON ((-73.887182 40.670037, -73.887182 40.675037, -73.89218199999999 40.675037, -73.89218199999999 40.670037, -73.887182 40.670037))"
1162,1163,40.670037,40.675037,-73.887182,-73.88218199999999,"POLYGON ((-73.88218199999999 40.670037, -73.88218199999999 40.675037, -73.887182 40.675037, -73.887182 40.670037, -73.88218199999999 40.670037))"
1163,1164,40.670037,40.675037,-73.88218199999999,-73.87718199999999,"POLYGON ((-73.87718199999999 40.670037, -73.87718199999999 40.675037, -73.88218199999999 40.675037, -73.88218199999999 40.670037, -73.87718199999999 40.670037))"
1164,1165,40.670037,40.675037,-73.87718199999999,-73.872182,"POLYGON ((-73.872182 40.670037, -73.872182 40.675037, -73.87718199999999 40.675037, -73.87718199999999 40.670037, -73.872182 40.670037))"
1165,1166,40.670037,40.675037,-73.872182,-73.86718199999999,"POLYGON ((-73.86718199999999 40.670037, -73.86718199999999 40.675037, -73.872182 40.675037, -73.872182 40.670037, -73.86718199999999 40.670037))"
1166,1167,40.670037,40.675037,-73.86718199999999,-73.86218199999999,"POLYGON ((-73.86218199999999 40.670037, -73.86218199999999 40.675037, -73.86718199999999 40.675037, -73.86718199999999 40.670037, -73.86218199999999 40.670037))"
1167,1168,40.670037,40.675037,-73.86218199999999,-73.857182,"POLYGON ((-73.857182 40.670037, -73.857182 40.675037, -73.86218199999999 40.675037, -73.86218199999999 40.670037, -73.857182 40.670037))"
1169,1170,40.670037,40.675037,-73.85218199999998,-73.84718199999999,"POLYGON ((-73.84718199999999 40.670037, -73.84718199999999 40.675037, -73.85218199999998 40.675037, -73.85218199999998 40.670037, -73.84718199999999 40.670037))"
1170,1171,40.670037,40.675037,-73.84718199999999,-73.842182,"POLYGON ((-73.842182 40.670037, -73.842182 40.675037, -73.84718199999999 40.675037, -73.84718199999999 40.670037, -73.842182 40.670037))"
1171,1172,40.670037,40.675037,-73.842182,-73.83718199999998,"POLYGON ((-73.83718199999998 40.670037, -73.83718199999998 40.675037, -73.842182 40.675037, -73.842182 40.670037, -73.83718199999998 40.670037))"
1172,1173,40.670037,40.675037,-73.83718199999998,-73.83218199999999,"POLYGON ((-73.83218199999999 40.670037, -73.83218199999999 40.675037, -73.83718199999998 40.675037, -73.83718199999998 40.670037, -73.83218199999999 40.670037))"
1175,1176,40.670037,40.675037,-73.82218199999998,-73.81718199999999,"POLYGON ((-73.81718199999999 40.670037, -73.81718199999999 40.675037, -73.82218199999998 40.675037, -73.82218199999998 40.670037, -73.81718199999999 40.670037))"
1176,1177,40.670037,40.675037,-73.81718199999999,-73.81218199999999,"POLYGON ((-73.81218199999999 40.670037, -73.81218199999999 40.675037, -73.81718199999999 40.675037, -73.81718199999999 40.670037, -73.81218199999999 40.670037))"
1177,1178,40.670037,40.675037,-73.81218199999999,-73.80718199999998,"POLYGON ((-73.80718199999998 40.670037, -73.80718199999998 40.675037, -73.81218199999999 40.675037, -73.81218199999999 40.670037, -73.80718199999998 40.670037))"
1178,1179,40.670037,40.675037,-73.80718199999998,-73.80218199999999,"POLYGON ((-73.80218199999999 40.670037, -73.80218199999999 40.675037, -73.80718199999998 40.675037, -73.80718199999998 40.670037, -73.80218199999999 40.670037))"
1179,1180,40.670037,40.675037,-73.80218199999999,-73.79718199999999,"POLYGON ((-73.79718199999999 40.670037, -73.79718199999999 40.675037, -73.80218199999999 40.675037, -73.80218199999999 40.670037, -73.79718199999999 40.670037))"
1180,1181,40.670037,40.675037,-73.79718199999999,-73.79218199999998,"POLYGON ((-73.79218199999998 40.670037, -73.79218199999998 40.675037, -73.79718199999999 40.675037, -73.79718199999999 40.670037, -73.79218199999998 40.670037))"
1181,1182,40.670037,40.675037,-73.79218199999998,-73.78718199999999,"POLYGON ((-73.78718199999999 40.670037, -73.78718199999999 40.675037, -73.79218199999998 40.675037, -73.79218199999998 40.670037, -73.78718199999999 40.670037))"
1182,1183,40.670037,40.675037,-73.78718199999999,-73.78218199999999,"POLYGON ((-73.78218199999999 40.670037, -73.78218199999999 40.675037, -73.78718199999999 40.675037, -73.78718199999999 40.670037, -73.78218199999999 40.670037))"
1183,1184,40.670037,40.675037,-73.78218199999999,-73.777182,"POLYGON ((-73.777182 40.670037, -73.777182 40.675037, -73.78218199999999 40.675037, -73.78218199999999 40.670037, -73.777182 40.670037))"
1184,1185,40.670037,40.675037,-73.777182,-73.77218199999999,"POLYGON ((-73.77218199999999 40.670037, -73.77218199999999 40.675037, -73.777182 40.675037, -73.777182 40.670037, -73.77218199999999 40.670037))"
1185,1186,40.670037,40.675037,-73.77218199999999,-73.76718199999999,"POLYGON ((-73.76718199999999 40.670037, -73.76718199999999 40.675037, -73.77218199999999 40.675037, -73.77218199999999 40.670037, -73.76718199999999 40.670037))"
1186,1187,40.670037,40.675037,-73.76718199999999,-73.762182,"POLYGON ((-73.762182 40.670037, -73.762182 40.675037, -73.76718199999999 40.675037, -73.76718199999999 40.670037, -73.762182 40.670037))"
1188,1189,40.670037,40.675037,-73.75718199999999,-73.75218199999999,"POLYGON ((-73.75218199999999 40.670037, -73.75218199999999 40.675037, -73.75718199999999 40.675037, -73.75718199999999 40.670037, -73.75218199999999 40.670037))"
1190,1191,40.670037,40.675037,-73.747182,-73.74218199999999,"POLYGON ((-73.74218199999999 40.670037, -73.74218199999999 40.675037, -73.747182 40.675037, -73.747182 40.670037, -73.74218199999999 40.670037))"
1191,1192,40.670037,40.675037,-73.74218199999999,-73.73718199999999,"POLYGON ((-73.73718199999999 40.670037, -73.73718199999999 40.675037, -73.74218199999999 40.675037, -73.74218199999999 40.670037, -73.73718199999999 40.670037))"
1192,1193,40.670037,40.675037,-73.73718199999999,-73.732182,"POLYGON ((-73.732182 40.670037, -73.732182 40.675037, -73.73718199999999 40.675037, -73.73718199999999 40.670037, -73.732182 40.670037))"
